page,line_id,column,glyph_count,n_components,height,ink_density,ink_ratio,flagged,reason,ocr_text
page_0560_auto,region_01_left/line_001,1,0,3,10,0.0687,0.490,True,no_glyphs,
page_0560_auto,region_01_left/line_002,1,26,28,56,0.1348,0.961,False,,
page_0560_auto,region_01_left/line_003,1,22,26,56,0.1119,0.798,False,,
page_0560_auto,region_01_left/line_004,1,28,31,60,0.1456,1.038,False,,
page_0560_auto,region_01_left/line_005,1,32,35,57,0.1355,0.966,False,,
page_0560_auto,region_01_left/line_006,1,16,21,56,0.0831,0.592,False,,
page_0560_auto,region_01_left/line_007,1,33,38,58,0.1350,0.963,False,,
page_0560_auto,region_01_left/line_008,1,40,44,61,0.1494,1.065,False,,
page_0560_auto,region_01_left/line_009,1,33,36,63,0.1391,0.992,False,,
page_0560_auto,region_01_left/line_010,1,35,37,56,0.1487,1.060,False,,
page_0560_auto,region_01_left/line_011,1,25,33,53,0.1269,0.905,False,,
page_0560_auto,region_01_left/line_012,1,0,1,27,0.1472,1.049,True,no_glyphs,
page_0560_auto,region_01_left/line_013,1,3,3,116,0.0326,0.233,False,,
page_0560_auto,region_01_left/line_014,1,13,13,62,0.2293,1.634,True,high_ink,
page_0560_auto,region_01_left/line_015,1,8,10,56,0.0673,0.480,False,,
page_0560_auto,region_01_left/line_016,1,29,33,54,0.1999,1.425,False,,
page_0560_auto,region_01_left/line_017,1,30,38,51,0.1838,1.310,False,,
page_0560_auto,region_01_left/line_018,1,0,5,14,0.0130,0.093,True,no_glyphs,
page_0560_auto,region_01_left/line_019,1,27,31,61,0.1655,1.180,False,,
page_0560_auto,region_01_left/line_020,1,30,36,54,0.1611,1.148,False,,
page_0560_auto,region_01_left/line_021,1,30,34,54,0.1598,1.139,False,,
page_0560_auto,region_01_left/line_022,1,8,15,60,0.0420,0.299,False,,
page_0560_auto,region_01_left/line_023,1,1,3,13,0.0131,0.093,False,,
page_0560_auto,region_01_left/line_024,1,21,26,58,0.1250,0.891,False,,
page_0560_auto,region_01_left/line_025,1,27,29,55,0.1539,1.097,False,,
page_0560_auto,region_01_left/line_026,1,20,23,54,0.1264,0.901,False,,
page_0560_auto,region_01_left/line_027,1,23,25,59,0.1115,0.795,False,,
page_0560_auto,region_01_left/line_028,1,15,17,62,0.0639,0.455,False,,
page_0560_auto,region_01_left/line_029,1,27,29,59,0.1349,0.962,False,,
page_0560_auto,region_01_left/line_030,1,13,18,59,0.0618,0.441,False,,
page_0560_auto,region_01_left/line_031,1,26,29,53,0.1403,1.000,False,,
page_0560_auto,region_01_left/line_032,1,24,30,53,0.1456,1.038,False,,
page_0560_auto,region_01_left/line_033,1,18,27,51,0.1569,1.119,False,,
page_0560_auto,region_01_left/line_034,1,30,32,58,0.1486,1.059,False,,
page_0560_auto,region_01_left/line_035,1,22,25,62,0.1165,0.831,False,,
page_0560_auto,region_01_left/line_036,1,11,15,50,0.0685,0.488,False,,
page_0560_auto,region_01_left/line_037,1,22,28,51,0.1484,1.058,False,,
page_0560_auto,region_01_left/line_038,1,27,29,60,0.1586,1.131,False,,
page_0560_auto,region_01_left/line_039,1,26,28,63,0.1627,1.160,False,,
page_0560_auto,region_01_left/line_040,1,12,16,64,0.0719,0.512,False,,
page_0560_auto,region_02_right/line_001,2,7,9,47,0.0802,0.572,False,,
page_0560_auto,region_02_right/line_002,2,26,32,51,0.1765,1.258,False,,
page_0560_auto,region_02_right/line_003,2,15,23,50,0.1142,0.814,False,,
page_0560_auto,region_02_right/line_004,2,31,33,52,0.1875,1.336,False,,
page_0560_auto,region_02_right/line_005,2,26,33,49,0.1753,1.249,False,,
page_0560_auto,region_02_right/line_006,2,23,30,51,0.1400,0.998,False,,
page_0560_auto,region_02_right/line_007,2,13,21,49,0.1208,0.861,False,,
page_0560_auto,region_02_right/line_008,2,24,34,51,0.1822,1.299,False,,
page_0560_auto,region_02_right/line_009,2,17,25,48,0.1460,1.041,False,,
page_0560_auto,region_02_right/line_010,2,12,20,50,0.0857,0.611,False,,
page_0560_auto,region_02_right/line_011,2,0,1,25,0.0700,0.499,True,no_glyphs,
page_0560_auto,region_02_right/line_012,2,12,12,62,0.1809,1.289,False,,
page_0560_auto,region_02_right/line_013,2,7,9,48,0.0792,0.564,False,,
page_0560_auto,region_02_right/line_014,2,19,28,51,0.1504,1.072,False,,
page_0560_auto,region_02_right/line_015,2,26,33,50,0.1741,1.241,False,,
page_0560_auto,region_02_right/line_016,2,3,4,47,0.0498,0.355,False,,
page_0560_auto,region_02_right/line_017,2,28,30,52,0.1798,1.282,False,,
page_0560_auto,region_02_right/line_018,2,19,25,51,0.1613,1.150,False,,
page_0560_auto,region_02_right/line_019,2,26,26,60,0.1625,1.158,False,,
page_0560_auto,region_02_right/line_020,2,18,18,59,0.1148,0.819,False,,
page_0560_auto,region_02_right/line_021,2,6,6,60,0.0544,0.388,False,,
page_0560_auto,region_02_right/line_022,2,17,25,51,0.1493,1.064,False,,
page_0560_auto,region_02_right/line_023,2,16,19,49,0.1060,0.756,False,,
page_0560_auto,region_02_right/line_024,2,5,5,61,0.0519,0.370,False,,
page_0560_auto,region_02_right/line_025,2,23,28,51,0.1658,1.182,False,,
page_0560_auto,region_02_right/line_026,2,11,13,47,0.0868,0.619,False,,
page_0560_auto,region_02_right/line_027,2,27,34,51,0.1801,1.284,False,,
page_0560_auto,region_02_right/line_028,2,25,33,50,0.1716,1.224,False,,
page_0560_auto,region_02_right/line_029,2,30,35,51,0.1778,1.267,False,,
page_0560_auto,region_02_right/line_030,2,22,31,48,0.1722,1.228,False,,
page_0560_auto,region_02_right/line_031,2,24,34,48,0.1846,1.316,False,,
